codigo,codigoUf,nomeUf,nomeUfSigla,codigoIbge,Nome,capital
1,11,Rondônia,RO,1100015,Alta Floresta D'oeste,false
2,11,Rondônia,RO,1100023,Ariquemes,false
3,11,Rondônia,RO,1100031,Cabixi,false
4,11,Rondônia,RO,1100049,Cacoal,false
5,11,Rondônia,RO,1100056,Cerejeiras,false
6,11,Rondônia,RO,1100064,Colorado do Oeste,false
7,11,Rondônia,RO,1100072,Corumbiara,false
8,11,Rondônia,RO,1100080,Costa Marques,false
16,11,Rondônia,RO,1100189,Pimenta Bueno,false
17,11,Rondônia,RO,1100205,Porto Velho,true
18,11,Rondônia,RO,1100254,Presidente Médici,false
19,11,Rondônia,RO,1100262,Rio Crespo,false
9,11,Rondônia,RO,1100098,Espigão D'oeste,false
10,11,Rondônia,RO,1100106,Guajará-Mirim,false
11,11,Rondônia,RO,1100114,Jaru,false
12,11,Rondônia,RO,1100122,Ji-Paraná,false
13,11,Rondônia,RO,1100130,Machadinho D'oeste,false
14,11,Rondônia,RO,1100148,Nova Brasilândia D'oeste,false
20,11,Rondônia,RO,1100288,Rolim de Moura,false
21,11,Rondônia,RO,1100296,Santa Luzia D'oeste,false
15,11,Rondônia,RO,1100155,Ouro Preto do Oeste,false
22,11,Rondônia,RO,1100304,Vilhena,false
23,11,Rondônia,RO,1100320,São Miguel do Guaporé,false
24,11,Rondônia,RO,1100338,Nova Mamoré,false
25,11,Rondônia,RO,1100346,Alvorada D'oeste,false
26,11,Rondônia,RO,1100379,Alto Alegre dos Parecis,false
27,11,Rondônia,RO,1100403,Alto Paraíso,false
28,11,Rondônia,RO,1100452,Buritis,false
29,11,Rondônia,RO,1100502,Novo Horizonte do Oeste,false
30,11,Rondônia,RO,1100601,Cacaulândia,false
31,11,Rondônia,RO,1100700,Campo Novo de Rondônia,false
32,11,Rondônia,RO,1100809,Candeias do Jamari,false
33,11,Rondônia,RO,1100908,Castanheiras,false
34,11,Rondônia,RO,1100924,Chupinguaia,false
35,11,Rondônia,RO,1100940,Cujubim,false
36,11,Rondônia,RO,1101005,Governador Jorge Teixeira,false
37,11,Rondônia,RO,1101104,Itapuã do Oeste,false
38,11,Rondônia,RO,1101203,Ministro Andreazza,false
39,11,Rondônia,RO,1101302,Mirante da Serra,false
40,11,Rondônia,RO,1101401,Monte Negro,false
41,11,Rondônia,RO,1101435,Nova União,false
42,11,Rondônia,RO,1101450,Parecis,false
43,11,Rondônia,RO,1101468,Pimenteiras do Oeste,false
44,11,Rondônia,RO,1101476,Primavera de Rondônia,false
45,11,Rondônia,RO,1101484,São Felipe D'oeste,false
46,11,Rondônia,RO,1101492,São Francisco do Guaporé,false
47,11,Rondônia,RO,1101500,Seringueiras,false
48,11,Rondônia,RO,1101559,Teixeirópolis,false
49,11,Rondônia,RO,1101609,Theobroma,false
50,11,Rondônia,RO,1101708,Urupá,false
51,11,Rondônia,RO,1101757,Vale do Anari,false
52,11,Rondônia,RO,1101807,Vale do Paraíso,false
53,12,Acre,AC,1200013,Acrelândia,false
54,12,Acre,AC,1200054,Assis Brasil,false
55,12,Acre,AC,1200104,Brasiléia,false
56,12,Acre,AC,1200138,Bujari,false
57,12,Acre,AC,1200179,Capixaba,false
58,12,Acre,AC,1200203,Cruzeiro do Sul,false
59,12,Acre,AC,1200252,Epitaciolândia,false
60,12,Acre,AC,1200302,Feijó,false
61,12,Acre,AC,1200328,Jordão,false
62,12,Acre,AC,1200336,Mâncio Lima,false
63,12,Acre,AC,1200344,Manoel Urbano,false
64,12,Acre,AC,1200351,Marechal Thaumaturgo,false
65,12,Acre,AC,1200385,Plácido de Castro,false
66,12,Acre,AC,1200393,Porto Walter,false
67,12,Acre,AC,1200401,Rio Branco,true
68,35,São Paulo,SP,3513850,Dirce Reis,false
69,35,São Paulo,SP,3513900,Divinolândia,false
70,35,São Paulo,SP,3514007,Dobrada,false
71,35,São Paulo,SP,3514106,Dois Córregos,false
72,35,São Paulo,SP,3514205,Dolcinópolis,false
73,12,Acre,AC,1200427,Rodrigues Alves,false
74,12,Acre,AC,1200435,Santa Rosa do Purus,false
75,12,Acre,AC,1200450,Senador Guiomard,false
76,12,Acre,AC,1200500,Sena Madureira,false
77,12,Acre,AC,1200609,Tarauacá,false
78,12,Acre,AC,1200708,Xapuri,false
79,12,Acre,AC,1200807,Porto Acre,false
80,13,Amazonas,AM,1300029,Alvarães,false
81,13,Amazonas,AM,1300060,Amaturá,false
82,13,Amazonas,AM,1300086,Anamã,false
83,13,Amazonas,AM,1300102,Anori,false
84,13,Amazonas,AM,1300144,Apuí,false
85,13,Amazonas,AM,1300201,Atalaia do Norte,false
86,13,Amazonas,AM,1300300,Autazes,false
87,13,Amazonas,AM,1300409,Barcelos,false
88,13,Amazonas,AM,1300508,Barreirinha,false
89,13,Amazonas,AM,1300607,Benjamin Constant,false
90,13,Amazonas,AM,1300631,Beruri,false
91,13,Amazonas,AM,1300680,Boa Vista do Ramos,false
92,13,Amazonas,AM,1300706,Boca do Acre,false
93,13,Amazonas,AM,1300805,Borba,false
94,13,Amazonas,AM,1300839,Caapiranga,false
95,13,Amazonas,AM,1300904,Canutama,false
96,13,Amazonas,AM,1301001,Carauari,false
97,13,Amazonas,AM,1301100,Careiro,false
98,13,Amazonas,AM,1301159,Careiro da Várzea,false
99,13,Amazonas,AM,1301209,Coari,false
100,13,Amazonas,AM,1301308,Codajás,false
101,13,Amazonas,AM,1301407,Eirunepé,false
102,13,Amazonas,AM,1301506,Envira,false
103,13,Amazonas,AM,1301605,Fonte Boa,false
104,13,Amazonas,AM,1301654,Guajará,false
105,13,Amazonas,AM,1301704,Humaitá,false
106,13,Amazonas,AM,1301803,Ipixuna,false
107,13,Amazonas,AM,1301852,Iranduba,false
108,13,Amazonas,AM,1301902,Itacoatiara,false
109,13,Amazonas,AM,1301951,Itamarati,false
110,13,Amazonas,AM,1302009,Itapiranga,false
111,13,Amazonas,AM,1302108,Japurá,false
112,13,Amazonas,AM,1302207,Juruá,false
113,13,Amazonas,AM,1302306,Jutaí,false
114,13,Amazonas,AM,1302405,Lábrea,false
115,13,Amazonas,AM,1302504,Manacapuru,false
116,13,Amazonas,AM,1302553,Manaquiri,false
117,13,Amazonas,AM,1302603,Manaus,true
118,13,Amazonas,AM,1302702,Manicoré,false
119,13,Amazonas,AM,1302801,Maraã,false
120,13,Amazonas,AM,1302900,Maués,false
121,13,Amazonas,AM,1303007,Nhamundá,false
122,13,Amazonas,AM,1303106,Nova Olinda do Norte,false
123,13,Amazonas,AM,1303205,Novo Airão,false
124,13,Amazonas,AM,1303304,Novo Aripuanã,false
125,13,Amazonas,AM,1303403,Parintins,false
126,13,Amazonas,AM,1303502,Pauini,false
127,13,Amazonas,AM,1303536,Presidente Figueiredo,false
128,13,Amazonas,AM,1303569,Rio Preto da Eva,false
129,13,Amazonas,AM,1303601,Santa Isabel do Rio Negro,false
130,13,Amazonas,AM,1303700,Santo Antônio do Içá,false
131,13,Amazonas,AM,1303809,São Gabriel da Cachoeira,false
132,13,Amazonas,AM,1303908,São Paulo de Olivença,false
133,13,Amazonas,AM,1303957,São Sebastião do Uatumã,false
134,13,Amazonas,AM,1304005,Silves,false
135,13,Amazonas,AM,1304062,Tabatinga,false
136,13,Amazonas,AM,1304104,Tapauá,false
137,13,Amazonas,AM,1304203,Tefé,false
138,13,Amazonas,AM,1304237,Tonantins,false
139,13,Amazonas,AM,1304260,Uarini,false
140,13,Amazonas,AM,1304302,Urucará,false
141,13,Amazonas,AM,1304401,Urucurituba,false
142,14,Roraima,RR,1400027,Amajari,false
143,14,Roraima,RR,1400050,Alto Alegre,false
144,14,Roraima,RR,1400100,Boa Vista,true
145,14,Roraima,RR,1400159,Bonfim,false
146,14,Roraima,RR,1400175,Cantá,false
147,14,Roraima,RR,1400209,Caracaraí,false
148,14,Roraima,RR,1400233,Caroebe,false
149,14,Roraima,RR,1400282,Iracema,false
150,14,Roraima,RR,1400308,Mucajaí,false
151,14,Roraima,RR,1400407,Normandia,false
152,14,Roraima,RR,1400456,Pacaraima,false
153,14,Roraima,RR,1400472,Rorainópolis,false
154,14,Roraima,RR,1400506,São João da Baliza,false
155,14,Roraima,RR,1400605,São Luiz,false
156,14,Roraima,RR,1400704,Uiramutã,false
157,15,Pará,PA,1500107,Abaetetuba,false
158,15,Pará,PA,1500131,Abel Figueiredo,false
159,15,Pará,PA,1500206,Acará,false
160,15,Pará,PA,1500305,Afuá,false
161,15,Pará,PA,1500347,Água Azul do Norte,false
162,15,Pará,PA,1500404,Alenquer,false
163,15,Pará,PA,1500503,Almeirim,false
